acc_id,geohash,acc_long,acc_lat,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,UART,UTYP1,count
79947_2019,u1qfje,9.736032712000053,52.40041873600006,2019,6,18,6,0,3,2,1
82386_2019,u1qfje,9.735608712000044,52.403213512000036,2019,7,17,4,0,2,6,1
82521_2019,u1qfje,9.735789915000057,52.39985340800007,2019,7,14,3,0,2,6,1
83882_2019,u1qfje,9.735875940000028,52.401487680000066,2019,8,10,5,1,2,6,1
84031_2019,u1qfje,9.73617350400002,52.39941672600002,2019,9,7,2,0,5,2,1
86215_2019,u1qfje,9.735744991000047,52.40020633300002,2019,10,17,4,0,2,6,1
86985_2019,u1qfje,9.735556990000019,52.40351218900008,2019,11,13,3,1,5,3,1
88743_2019,u1qfje,9.736169746000028,52.39944347400007,2019,12,11,5,0,5,3,1
90160_2019,u1qfje,9.735193830000073,52.40346358500005,2019,1,15,3,1,5,2,1
91446_2019,u1qfje,9.735868759000027,52.40153405800004,2019,2,18,2,0,2,6,1
91704_2019,u1qfje,9.735098059000052,52.40413763000004,2019,2,13,7,1,6,4,1
92156_2019,u1qfje,9.735956096000052,52.400963985000026,2019,3,13,4,0,2,6,1
92654_2019,u1qfje,9.735771995000052,52.40215900000004,2019,3,0,7,0,2,6,1
92709_2019,u1qfje,9.735825547000047,52.399573479000026,2019,3,10,6,1,2,6,1
93245_2019,u1qfje,9.735875650000024,52.401489551000054,2019,4,12,2,0,2,6,1
94599_2019,u1qfje,9.735687228000074,52.400660109000064,2019,4,17,2,0,3,6,1
223688_2019,u1qfje,9.736853093000038,52.40471049000006,2019,6,19,4,0,6,2,1
225516_2019,u1qfje,9.734108673000037,52.40345401100007,2019,8,15,3,0,2,6,1
227665_2019,u1qfje,9.740954114000033,52.404663890000045,2019,11,8,2,1,2,6,1
228947_2019,u1qfje,9.736884319000069,52.40461372100003,2019,12,16,1,0,5,3,1
229332_2019,u1qfje,9.735665582000022,52.39932905500007,2019,1,6,4,0,6,4,1
